Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3504361;23;12/10/2017 12:35;Comunale extraurbana;VIA CRISTOFORO COLOMBO;in prossimità;;della chilometrica;19.2;;Infortunio per caduta del veicolo;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1963;M;Rimandato;0;NON DECEDUTO;Esente;
3507859;18;15/10/2017 08:30;Statale;VIA AURELIA;in prossimità;;della chilometrica;10;;Tamponamento;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;MTB;(non accertato);Conducente;1962;M;Ricoverato;0;NON DECEDUTO;Esente;
3509611;1;16/10/2017 17:50;Strada Urbana;VIA DEL TRITONE;in prossimità;;del civico n.;58;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1952;F;Rimandato;0;NON DECEDUTO;Esente;
3509629;4;16/10/2017 17:30;;VIA DEI PRATI FISCALI;in prossimità;;del civico n.;396;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Shimado;(ignoto);Conducente;0;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3509756;1;13/10/2017 12:45;Strada Urbana;VIA MARSALA;in prossimità;;del civico n.;73;;Ribaltamento senza urto contro ostacolo fisso;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Bottecchia;(non accertato);Conducente;1976;M;Ricoverato;0;NON DECEDUTO;Esente;
3509979;10;17/10/2017 10:30;Strada Urbana;VIA APPIA NUOVA;all'intersezione semaforizzata con;VIA ANNIA REGILLA;VIA ANNIA REGILLA;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Giant;(ignoto);Conducente;1961;M;Rimandato;0;NON DECEDUTO;Esente;
3512073;1;18/10/2017 11:05;Strada Urbana;VIA ELENIANA;da specificare;;;;in prossimità dei FORNICI;Scontro frontale/laterale SX fra veicoli in marcia;Strettoia;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;12,51458;41,89045;0;2;Velocipede;In marcia / fermata / arresto;Olmo;(ignoto);Conducente;1993;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3513237;13;18/10/2017 10:40;;VIA DEL MARE;all'intersezione con;VIA DI CASTEL FUSANO;VIA DI CASTEL FUSANO;;;Veicolo in marcia contro ostacolo accidentale;;;;;;;;;;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Galant;(non accertato);Conducente;1945;M;Rimandato;0;NON DECEDUTO;Esente;
3513664;1;18/10/2017 17:30;Strada Urbana;VIA MERULANA;in prossimità;;del civico n.;244;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Torpado;(non accertato);Conducente;1974;M;Illeso;0;;Esente;
3514273;16;18/10/2017 16:30;;PIAZZALE ENRICO DUNANT;in corrispondenza;;del civico n.;f.c. 22;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;12,45798;41,87301;0;2;Velocipede;In marcia / fermata / arresto;SCOTT;(ignoto);Conducente;0;M;Illeso;0;;Esente;
3518821;10;21/10/2017 19:27;;VIA MONDRAGONE;all'intersezione con;VIA CASTRO DEI VOLSCI;VIA CASTRO DEI VOLSCI;;;Scontro frontale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3520559;1;21/10/2017 08:55;Strada Urbana;PIAZZA VITTORIO EMANUELE II;all'intersezione con;VIA EMANUELE FILIBERTO;VIA EMANUELE FILIBERTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Collalti;(non accertato);Conducente;1962;M;Illeso;0;;Esente;
3521840;19;24/10/2017 15:30;Strada Urbana;VIA S. GIUSEPPE DA COPERTINO;da specificare;;;;snc;Infortunio per caduta del veicolo;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Peugeot;da corsa;Conducente;1999;M;Ricoverato;0;NON DECEDUTO;Esente;
3522486;9;24/10/2017 17:30;;VIA MAGNAGRECIA;in prossimità;;del civico n.;114;;Scontro frontale fra veicoli in marcia;;;;;;;;;;1;0;0;1;12,50797;41,88112;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1973;F;Rimandato;0;NON DECEDUTO;Esente;
3524234;1;25/10/2017 13:40;Strada Urbana;LUNGOTEVERE RAFFAELLO SANZIO;all'intersezione semaforizzata con;PIAZZA TRILUSSA;PIAZZA TRILUSSA;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,47035;41,89187;0;1;Velocipede;In marcia / fermata / arresto;De Rosa;(ignoto);Conducente;1978;M;Illeso;0;;Esente;
3524646;2;25/10/2017 11:00;;VIALE GIOACCHINO ROSSINI;in prossimità;;del civico n.;3;;Veicolo in marcia contro ostacolo accidentale;;;;;;;;;;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;lazzaretti;(non accertato);Conducente;1977;M;Illeso;0;;Esente;
3526045;13;26/10/2017 17:15;;VIA EURIPIDE;all'intersezione con;VIA BACCHILIDE;VIA BACCHILIDE;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Legnano;tipo uomo;Conducente;1984;M;Illeso;0;;Esente;
3526647;17;26/10/2017 13:30;Strada Urbana;VIA BALDO DEGLI UBALDI;in corrispondenza;;del civico n.;186;;Veicolo in marcia contro veicolo fermo;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,4363;41,89971;0;2;Velocipede;In marcia / fermata / arresto;Holland;(ignoto);Conducente;1960;F;Rimandato;0;NON DECEDUTO;Esente;
3529903;5;27/10/2017 21:40;;VIA TIBURTINA;in prossimità;;del civico n.;1020;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Shadow;4000;Conducente;1974;M;Rimandato;0;NON DECEDUTO;Esente;
3529970;23;29/10/2017 11:00;;VIA CRISTOFORO COLOMBO;in corrispondenza;;della chilometrica;21.215;;Tamponamento;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Cinelli;(ignoto);Conducente;1934;M;Illeso;0;;Esente;
3530563;1;28/10/2017 17:55;Strada Urbana;VIA GARIBALDI;in prossimità;;del civico n.;FC 39;;Scontro frontale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a doppio senso;Asciutto;Acciotolata;Orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Bike;(non accertato);Conducente;1983;F;Illeso;0;;Esente;
3530746;12;28/10/2017 12:20;;VIA DI PORTA MEDAGLIA;all'intersezione con;VIA DI TORRE S. ANASTASIA;VIA DI TORRE S. ANASTASIA;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1971;M;Rimandato;0;NON DECEDUTO;Esente;
3533225;13;31/10/2017 12:20;;VIA ARISTONICO D'ALESSANDRIA;in prossimità;;del civico n.;9;;Tamponamento;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Bottecchia;(ignoto);Conducente;1977;M;Illeso;0;;Esente;
3534513;7;31/10/2017 10:15;;VIALE PALMIRO TOGLIATTI;all'intersezione con;VIA DEI PIOPPI;VIA DEI PIOPPI;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Shimano;Rocky Bike;Conducente;1933;M;Illeso;0;;Esente;
