Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3460156;13;14/09/2017 08:40;;VIA CAPO PALINURO;all'intersezione con;PIAZZA FRANCESCO CONTEDUCA;PIAZZA FRANCESCO CONTEDUCA;;;Tamponamento;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1931;M;Rimandato;0;NON DECEDUTO;Esente;
3463519;1;16/09/2017 15:45;Strada Urbana;PIAZZA VENEZIA;all'intersezione con;PIAZZA DI S. MARCO;PIAZZA DI S. MARCO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;B Twin;(ignoto);Conducente;1988;F;Illeso;0;;Esente;
3463811;2;17/09/2017 12:55;Strada Urbana;LARGO SOMALIA;in corrispondenza;;del civico n.;70;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;4;12,51445;41,93584;0;2;Velocipede;In marcia / fermata / arresto;BTWIN;(ignoto);Conducente;1971;M;Rimandato;0;NON DECEDUTO;Esente;
3464572;18;16/09/2017 07:30;Strada Urbana;VIA GREGORIO VII;da specificare;;;;FRONTE CIVICO 480;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;12,44068;41,89613;0;2;Velocipede;In marcia / fermata / arresto;Cube;(non accertato);Conducente;1969;M;Rimandato;0;NON DECEDUTO;Esente;
3466166;11;18/09/2017 11:35;Strada Urbana;VIA ARDEATINA;da specificare;;;;in prossimità via casale delle cornacchiole;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(ignoto);Conducente;1972;M;Rimandato;0;NON DECEDUTO;Esente;
3466320;7;18/09/2017 14:30;Strada Urbana;VIA PIETRO FUMAROLI;all'intersezione con;VIA ARISTIDE STADERINI;VIA ARISTIDE STADERINI;;;Scontro frontale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,58722;41,89162;0;2;Velocipede;In marcia / fermata / arresto;.DA UOMO;DECATLON;Conducente;1980;M;Illeso;0;;Esente;
3468092;5;19/09/2017 16:05;;VIALE PALMIRO TOGLIATTI;da specificare;;;;DIREZIONE A24 ALT. RAMPA IMMISSIONE DA VIA TIBURTI;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;0;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;0;F;Rimandato;0;NON DECEDUTO;Esente;
3468630;1;18/09/2017 10:00;Strada Urbana;VIALE ENRICO DE NICOLA;in prossimità;;del palo luce n.;161;;Tamponamento;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;;;0;1;Velocipede;In marcia / fermata / arresto;Imperia;(ignoto);Conducente;2003;M;Illeso;0;;Esente;
3470139;2;20/09/2017 17:30;;VIA NIZZA;in corrispondenza;;del civico n.;136;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Chiorda;tipo donna;Conducente;1975;F;Ricoverato;0;NON DECEDUTO;Esente;
3473246;23;22/09/2017 10:10;;PIAZZALE CRISTOFORO COLOMBO;all'intersezione con;VIA CRISTOFORO COLOMBO;VIA CRISTOFORO COLOMBO;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;0;0;0;3;;;0;2;Velocipede;In marcia / fermata / arresto;Free Time;(ignoto);Conducente;1963;M;Illeso;0;;Esente;
3474013;13;23/09/2017 17:00;;VIA DEI PESCATORI;in prossimità;;del civico n.;51;;Veicolo in marcia contro ostacolo fisso;;;;;;;;;;0;0;0;1;12,30196;41,72395;0;1;Velocipede;In marcia / fermata / arresto;Rossin;corsa;Conducente;1934;M;Illeso;0;;Esente;
3475007;20;24/09/2017 10:45;Strada Urbana;VIA DI VALLE MURICANA;da specificare;;;;fronte civ. 405;Infortunio per sola frenata improvvisa;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;0;12,46988;42,02268;0;1;Velocipede;In marcia / fermata / arresto;Pinarello;(ignoto);Conducente;1970;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3475178;16;22/09/2017 15:40;;LARGO DI PORTA CAVALLEGGERI;in prossimità;;del civico n.;1;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;esperia;(non accertato);Conducente;1995;F;Illeso;0;;Esente;
3478503;4;26/09/2017 10:15;;VIA SALARIA;in prossimità;;della chilometrica;12.3;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;12,51724;41,98601;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1942;M;Illeso;0;;Esente;
3478546;4;26/09/2017 12:00;;VIA GARGANO;all'intersezione semaforizzata con;CORSO SEMPIONE;CORSO SEMPIONE;;;Veicolo in marcia contro ostacolo accidentale;;;;;;;;;;0;0;0;1;12,53425;41,93615;0;1;Velocipede;In marcia / fermata / arresto;RockRider;(non accertato);Conducente;1985;M;Illeso;0;;Esente;
3478683;12;27/09/2017 09:20;Strada Urbana;VIALE GUGLIELMO MARCONI;in prossimità;;del civico n.;700;;Scontro laterale fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,4785;41,84526;0;2;Velocipede;In marcia / fermata / arresto;Colnago;da corsa;Conducente;1992;M;Illeso;0;;Esente;
3480266;23;27/09/2017 08:40;;VIA CRISTOFORO COLOMBO;all'intersezione semaforizzata con;VIA DI MALAFEDE;VIA DI MALAFEDE;;;Infortunio per caduta del veicolo;;;;;;;;;;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;Trek;(ignoto);Conducente;1965;M;Illeso;0;;Esente;
3481981;6;28/09/2017 20:15;Strada Urbana;VIA PRENESTINA;in prossimità;;del civico n.;39;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Sufficiente;Insufficiente;2;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;28;(ignoto);Conducente;1983;M;Rimandato;0;NON DECEDUTO;Esente;
3482169;2;28/09/2017 10:30;;VIA SALARIA;in corrispondenza;;del civico n.;292;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;1;Velocipede;In marcia / fermata / arresto;Atala;(ignoto);Conducente;0;F;Ricoverato;0;NON DECEDUTO;Esente;
3482778;18;29/09/2017 14:30;Strada Urbana;VIA CARDINALE OREGLIA;all'intersezione con;VIA DI BOCCEA;VIA DI BOCCEA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,42356;41,90274;0;2;Velocipede;In marcia / fermata / arresto;Top Gun;(non accertato);Conducente;1989;M;Illeso;0;;Esente;
3483462;19;29/09/2017 13:20;;VIA DEI MONTI DI PRIMAVALLE;in corrispondenza;;del civico n.;34;;Tamponamento;;;;;;;;;;1;0;0;1;12,41379;41,91312;0;2;Velocipede;In marcia / fermata / arresto;Shimado;(non accertato);Conducente;1982;M;Rimandato;0;NON DECEDUTO;Esente;
3483959;15;29/09/2017 17:45;;VIA DELLA MAGLIANA;all'intersezione semaforizzata con;VIA PIAN DUE TORRI;VIA PIAN DUE TORRI;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;3;;;0;2;Velocipede;In marcia / fermata / arresto;da uomo;(non accertato);Conducente;0;M;Illeso;0;;Esente;
3484112;1;29/09/2017 15:05;Strada Urbana;VIA TOSCANA;all'intersezione con;VIA SICILIA;VIA SICILIA;;;Scontro frontale/laterale SX fra veicoli in marcia;;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1965;M;Illeso;0;;Esente;
3485688;2;30/09/2017 13:45;;VIA PANAMA;in prossimità;;del civico n.;58;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;0;M;Ricoverato;0;NON DECEDUTO;Esente;
